,Team,Wins,Losses,Win %,Points Per Game,Opp. Points Per Game,Season Year
299,New Jersey Nets,12,70,0.146,92.4,101.5,2009-2010
300,Cleveland Cavaliers,61,21,0.744,102.1,95.6,2009-2010
301,Milwaukee Bucks,46,36,0.561,97.7,96.0,2009-2010
302,Chicago Bulls,41,41,0.5,97.5,99.1,2009-2010
303,Indiana Pacers,32,50,0.39,100.8,103.8,2009-2010
304,Detroit Pistons,27,55,0.329,94.0,99.1,2009-2010
305,Orlando Magic,59,23,0.72,102.8,95.3,2009-2010
306,Atlanta Hawks,53,29,0.646,101.7,97.0,2009-2010
307,Miami Heat,47,35,0.573,96.5,94.2,2009-2010
308,Charlotte Bobcats,44,38,0.537,95.3,93.8,2009-2010
309,Washington Wizards,26,56,0.317,96.2,101.0,2009-2010
310,Denver Nuggets,53,29,0.646,106.5,102.4,2009-2010
311,Utah Jazz,53,29,0.646,104.2,98.9,2009-2010
312,Portland Trail Blazers,50,32,0.61,98.1,94.8,2009-2010
313,Oklahoma City Thunder,50,32,0.61,101.5,98.0,2009-2010
314,Minnesota Timberwolves,15,67,0.183,98.2,107.8,2009-2010
315,Los Angeles Lakers,57,25,0.695,101.7,97.0,2009-2010
316,Phoenix Suns,54,28,0.659,110.2,105.3,2009-2010
317,Los Angeles Clippers,29,53,0.354,95.7,102.1,2009-2010
318,Golden State Warriors,26,56,0.317,108.8,112.4,2009-2010
319,Sacramento Kings,25,57,0.305,100.0,104.4,2009-2010
320,Dallas Mavericks,55,27,0.671,102.0,99.3,2009-2010
321,San Antonio Spurs,50,32,0.61,101.4,96.3,2009-2010
322,Houston Rockets,42,40,0.512,102.4,102.7,2009-2010
323,Memphis Grizzlies,40,42,0.488,102.5,104.0,2009-2010
324,New Orleans Hornets,37,45,0.451,100.2,102.7,2009-2010
325,Boston Celtics,56,26,0.683,96.5,91.1,2010-2011
326,New York Knicks,42,40,0.512,106.5,105.7,2010-2011
327,Philadelphia 76ers,41,41,0.5,99.0,97.5,2010-2011
328,New Jersey Nets,24,58,0.293,94.2,100.4,2010-2011
329,Toronto Raptors,22,60,0.268,99.1,105.4,2010-2011
330,Chicago Bulls,62,20,0.756,98.6,91.3,2010-2011
331,Indiana Pacers,37,45,0.451,99.8,100.9,2010-2011
332,Milwaukee Bucks,35,47,0.427,91.9,92.7,2010-2011
333,Detroit Pistons,30,52,0.366,97.0,100.6,2010-2011
334,Cleveland Cavaliers,19,63,0.232,95.5,104.5,2010-2011
335,Miami Heat,58,24,0.707,102.1,94.6,2010-2011
336,Orlando Magic,52,30,0.634,99.2,93.7,2010-2011
337,Atlanta Hawks,44,38,0.537,95.0,95.8,2010-2011
338,Charlotte Bobcats,34,48,0.415,93.3,97.3,2010-2011
339,Washington Wizards,23,59,0.28,97.3,104.7,2010-2011
340,Oklahoma City Thunder,55,27,0.671,104.8,101.0,2010-2011
341,Denver Nuggets,50,32,0.61,107.5,102.7,2010-2011
342,Portland Trail Blazers,48,34,0.585,96.3,94.8,2010-2011
343,Utah Jazz,39,43,0.476,99.4,101.3,2010-2011
344,Minnesota Timberwolves,17,65,0.207,101.1,107.7,2010-2011
345,Los Angeles Lakers,57,25,0.695,101.5,95.4,2010-2011
346,Phoenix Suns,40,42,0.488,105.0,105.9,2010-2011
347,Golden State Warriors,36,46,0.439,103.4,105.7,2010-2011
348,Los Angeles Clippers,32,50,0.39,98.6,101.8,2010-2011
349,Sacramento Kings,24,58,0.293,99.4,104.7,2010-2011
350,San Antonio Spurs,61,21,0.744,103.7,98.0,2010-2011
351,Dallas Mavericks,57,25,0.695,100.2,96.0,2010-2011
352,New Orleans Hornets,46,36,0.561,94.9,94.0,2010-2011
353,Memphis Grizzlies,46,36,0.561,99.9,97.6,2010-2011
354,Houston Rockets,43,39,0.524,105.9,103.7,2010-2011
355,Boston Celtics,39,27,0.591,91.8,89.3,2011-2012
356,New York Knicks,36,30,0.545,97.8,94.7,2011-2012
357,Philadelphia 76ers,35,31,0.53,93.6,89.4,2011-2012
358,Toronto Raptors,23,43,0.348,90.7,94.0,2011-2012
359,New Jersey Nets,22,44,0.333,93.1,99.1,2011-2012
360,Chicago Bulls,50,16,0.758,96.3,88.2,2011-2012
361,Indiana Pacers,42,24,0.636,97.7,94.4,2011-2012
362,Milwaukee Bucks,31,35,0.47,99.0,98.7,2011-2012
363,Detroit Pistons,25,41,0.379,90.9,95.7,2011-2012
364,Cleveland Cavaliers,21,45,0.318,93.0,100.2,2011-2012
365,Miami Heat,46,20,0.697,98.5,92.5,2011-2012
366,Atlanta Hawks,40,26,0.606,96.6,93.2,2011-2012
367,Orlando Magic,37,29,0.561,94.2,93.4,2011-2012
368,Washington Wizards,20,46,0.303,93.6,98.4,2011-2012
369,Charlotte Bobcats,7,59,0.106,87.0,100.9,2011-2012
370,Oklahoma City Thunder,47,19,0.712,103.1,96.9,2011-2012
371,Denver Nuggets,38,28,0.576,104.1,101.2,2011-2012
372,Utah Jazz,36,30,0.545,99.7,99.0,2011-2012
373,Portland Trail Blazers,28,38,0.424,97.2,97.8,2011-2012
374,Minnesota Timberwolves,26,40,0.394,97.9,100.1,2011-2012
375,Los Angeles Lakers,41,25,0.621,97.3,95.9,2011-2012
376,Los Angeles Clippers,40,26,0.606,97.5,95.0,2011-2012
377,Phoenix Suns,33,33,0.5,98.4,98.6,2011-2012
378,Golden State Warriors,23,43,0.348,97.8,101.2,2011-2012
379,Sacramento Kings,22,44,0.333,98.8,104.4,2011-2012
380,San Antonio Spurs,50,16,0.758,103.7,96.5,2011-2012
381,Memphis Grizzlies,41,25,0.621,95.0,93.0,2011-2012
382,Dallas Mavericks,36,30,0.545,95.8,94.8,2011-2012
383,Houston Rockets,34,32,0.515,98.1,97.9,2011-2012
384,New Orleans Hornets,21,45,0.318,89.6,93.4,2011-2012
385,New York Knicks,54,28,0.659,100.0,95.7,2012-2013
386,Brooklyn Nets,49,33,0.598,96.9,95.1,2012-2013
387,Boston Celtics,41,40,0.506,96.5,96.7,2012-2013
388,Philadelphia 76ers,34,48,0.415,93.2,96.5,2012-2013
389,Toronto Raptors,34,48,0.415,97.2,98.7,2012-2013
390,Indiana Pacers,49,32,0.605,94.7,90.7,2012-2013
391,Chicago Bulls,45,37,0.549,93.2,92.9,2012-2013
392,Milwaukee Bucks,38,44,0.463,98.9,100.4,2012-2013
393,Detroit Pistons,29,53,0.354,94.9,98.8,2012-2013
394,Cleveland Cavaliers,24,58,0.293,96.5,101.2,2012-2013
395,Miami Heat,66,16,0.805,102.9,95.0,2012-2013
396,Atlanta Hawks,44,38,0.537,98.0,97.5,2012-2013
397,Washington Wizards,29,53,0.354,93.2,95.8,2012-2013
398,Charlotte Bobcats,21,61,0.256,93.4,102.7,2012-2013
399,Orlando Magic,20,62,0.244,94.1,101.1,2012-2013
400,Oklahoma City Thunder,60,22,0.732,105.7,96.5,2012-2013
401,Denver Nuggets,57,25,0.695,106.1,101.1,2012-2013
402,Utah Jazz,43,39,0.524,98.0,98.1,2012-2013
403,Portland Trail Blazers,33,49,0.402,97.5,100.7,2012-2013
404,Minnesota Timberwolves,31,51,0.378,95.7,98.1,2012-2013
405,Los Angeles Clippers,56,26,0.683,101.1,94.6,2012-2013
406,Golden State Warriors,47,35,0.573,101.2,100.3,2012-2013
407,Los Angeles Lakers,45,37,0.549,102.2,101.0,2012-2013
408,Sacramento Kings,28,54,0.341,100.2,105.1,2012-2013
409,Phoenix Suns,25,57,0.305,95.2,101.6,2012-2013
410,San Antonio Spurs,58,24,0.707,103.0,96.6,2012-2013
411,Memphis Grizzlies,56,26,0.683,93.4,89.3,2012-2013
412,Houston Rockets,45,37,0.549,106.0,102.5,2012-2013
413,Dallas Mavericks,41,41,0.5,101.1,101.7,2012-2013
414,New Orleans Hornets,27,55,0.329,94.1,97.9,2012-2013
415,Toronto Raptors,48,34,0.585,101.3,98.0,2013-2014
416,Brooklyn Nets,44,38,0.537,98.5,99.5,2013-2014
417,New York Knicks,37,45,0.451,98.6,99.4,2013-2014
418,Boston Celtics,25,57,0.305,96.2,100.7,2013-2014
419,Philadelphia 76ers,19,63,0.232,99.5,109.9,2013-2014
420,Indiana Pacers,56,26,0.683,96.7,92.3,2013-2014
421,Chicago Bulls,48,34,0.585,93.7,91.8,2013-2014
422,Cleveland Cavaliers,33,49,0.402,98.2,101.5,2013-2014
423,Detroit Pistons,29,53,0.354,101.0,104.7,2013-2014
424,Milwaukee Bucks,15,67,0.183,95.5,103.7,2013-2014
425,Miami Heat,54,28,0.659,102.2,97.4,2013-2014
426,Washington Wizards,44,38,0.537,100.7,99.4,2013-2014
427,Charlotte Bobcats,43,39,0.524,96.9,97.1,2013-2014
428,Atlanta Hawks,38,44,0.463,101.0,101.5,2013-2014
429,Orlando Magic,23,59,0.28,96.5,102.0,2013-2014
430,Oklahoma City Thunder,59,23,0.72,106.2,99.8,2013-2014
431,Portland Trail Blazers,54,28,0.659,106.7,102.8,2013-2014
432,Minnesota Timberwolves,40,42,0.488,106.9,104.3,2013-2014
433,Denver Nuggets,36,46,0.439,104.4,106.5,2013-2014
434,Utah Jazz,25,57,0.305,95.0,102.2,2013-2014
435,Los Angeles Clippers,57,25,0.695,107.9,101.0,2013-2014
436,Golden State Warriors,51,31,0.622,104.3,99.5,2013-2014
437,Phoenix Suns,48,34,0.585,105.2,102.6,2013-2014
438,Sacramento Kings,28,54,0.341,100.5,103.4,2013-2014
439,Los Angeles Lakers,27,55,0.329,103.0,109.2,2013-2014
440,San Antonio Spurs,62,20,0.756,105.4,97.6,2013-2014
441,Houston Rockets,54,28,0.659,107.7,103.1,2013-2014
442,Memphis Grizzlies,50,32,0.61,96.1,94.6,2013-2014
443,Dallas Mavericks,49,33,0.598,104.8,102.4,2013-2014
444,New Orleans Pelicans,34,48,0.415,99.7,102.4,2013-2014
445,Toronto Raptors,49,33,0.598,104.0,100.9,2014-2015
446,Boston Celtics,40,42,0.488,101.4,101.2,2014-2015
447,Brooklyn Nets,38,44,0.463,98.0,100.9,2014-2015
448,Philadelphia 76ers,18,64,0.22,92.0,101.0,2014-2015
449,New York Knicks,17,65,0.207,91.9,101.2,2014-2015
450,Cleveland Cavaliers,53,29,0.646,103.1,98.7,2014-2015
451,Chicago Bulls,50,32,0.61,100.8,97.8,2014-2015
452,Milwaukee Bucks,41,41,0.5,97.8,97.4,2014-2015
453,Indiana Pacers,38,44,0.463,97.3,97.0,2014-2015
454,Detroit Pistons,32,50,0.39,98.5,99.5,2014-2015
455,Atlanta Hawks,60,22,0.732,102.5,97.1,2014-2015
456,Washington Wizards,46,36,0.561,98.5,97.8,2014-2015
457,Miami Heat,37,45,0.451,94.7,97.3,2014-2015
458,Charlotte Hornets,33,49,0.402,94.2,97.3,2014-2015
459,Orlando Magic,25,57,0.305,95.7,101.4,2014-2015
460,Portland Trail Blazers,51,31,0.622,102.8,98.6,2014-2015
461,Oklahoma City Thunder,45,37,0.549,104.0,101.8,2014-2015
462,Utah Jazz,38,44,0.463,95.1,94.9,2014-2015
463,Denver Nuggets,30,52,0.366,101.5,105.0,2014-2015
464,Minnesota Timberwolves,16,66,0.195,97.8,106.5,2014-2015
465,Golden State Warriors,67,15,0.817,110.0,99.9,2014-2015
466,Los Angeles Clippers,56,26,0.683,106.7,100.1,2014-2015
467,Phoenix Suns,39,43,0.476,102.4,103.3,2014-2015
468,Sacramento Kings,29,53,0.354,101.3,105.0,2014-2015
469,Los Angeles Lakers,21,61,0.256,98.5,105.3,2014-2015
470,Houston Rockets,56,26,0.683,103.9,100.5,2014-2015
471,Memphis Grizzlies,55,27,0.671,98.3,95.1,2014-2015
472,San Antonio Spurs,55,27,0.671,103.2,97.0,2014-2015
473,Dallas Mavericks,50,32,0.61,105.2,102.3,2014-2015
474,New Orleans Pelicans,45,37,0.549,99.4,98.6,2014-2015
475,Toronto Raptors,56,26,0.683,102.7,98.2,2015-2016
476,Boston Celtics,48,34,0.585,105.7,102.5,2015-2016
477,New York Knicks,32,50,0.39,98.4,101.1,2015-2016
478,Brooklyn Nets,21,61,0.256,98.6,106.0,2015-2016
479,Philadelphia 76ers,10,72,0.122,97.4,107.6,2015-2016
480,Cleveland Cavaliers,57,25,0.695,104.3,98.3,2015-2016
481,Indiana Pacers,45,37,0.549,102.2,100.5,2015-2016
482,Detroit Pistons,44,38,0.537,102.0,101.4,2015-2016
483,Chicago Bulls,42,40,0.512,101.6,103.1,2015-2016
484,Milwaukee Bucks,33,49,0.402,99.0,103.2,2015-2016
485,Miami Heat,48,34,0.585,100.0,98.4,2015-2016
486,Atlanta Hawks,48,34,0.585,102.8,99.2,2015-2016
487,Charlotte Hornets,48,34,0.585,103.4,100.7,2015-2016
488,Washington Wizards,41,41,0.5,104.1,104.6,2015-2016
489,Orlando Magic,35,47,0.427,102.1,103.7,2015-2016
490,Oklahoma City Thunder,55,27,0.671,110.2,102.9,2015-2016
491,Portland Trail Blazers,44,38,0.537,105.1,104.3,2015-2016
492,Utah Jazz,40,42,0.488,97.7,95.9,2015-2016
493,Denver Nuggets,33,49,0.402,101.9,105.0,2015-2016
494,Minnesota Timberwolves,29,53,0.354,102.4,106.0,2015-2016
495,Golden State Warriors,73,9,0.89,114.9,104.1,2015-2016
496,Los Angeles Clippers,53,29,0.646,104.5,100.2,2015-2016
497,Sacramento Kings,33,49,0.402,106.6,109.1,2015-2016
498,Phoenix Suns,23,59,0.28,100.9,107.5,2015-2016
499,Los Angeles Lakers,17,65,0.207,97.3,106.9,2015-2016
500,San Antonio Spurs,67,15,0.817,103.5,92.9,2015-2016
501,Dallas Mavericks,42,40,0.512,102.3,102.6,2015-2016
502,Memphis Grizzlies,42,40,0.512,99.1,101.3,2015-2016
503,Houston Rockets,41,41,0.5,106.5,106.4,2015-2016
504,New Orleans Pelicans,30,52,0.366,102.7,106.5,2015-2016
505,Boston Celtics,53,29,0.646,108.0,105.4,2016-2017
506,Toronto Raptors,51,31,0.622,106.9,102.6,2016-2017
507,New York Knicks,31,51,0.378,104.3,108.0,2016-2017
508,Philadelphia 76ers,28,54,0.341,102.4,108.1,2016-2017
509,Brooklyn Nets,20,62,0.244,105.8,112.5,2016-2017
510,Cleveland Cavaliers,51,31,0.622,110.3,107.2,2016-2017
511,Milwaukee Bucks,42,40,0.512,103.6,103.8,2016-2017
512,Indiana Pacers,42,40,0.512,105.1,105.3,2016-2017
513,Chicago Bulls,41,41,0.5,102.9,102.4,2016-2017
514,Detroit Pistons,37,45,0.451,101.3,102.5,2016-2017
515,Washington Wizards,49,33,0.598,109.2,107.4,2016-2017
516,Atlanta Hawks,43,39,0.524,103.2,104.0,2016-2017
517,Miami Heat,41,41,0.5,103.2,102.1,2016-2017
518,Charlotte Hornets,36,46,0.439,104.9,104.7,2016-2017
519,Orlando Magic,29,53,0.354,101.1,107.6,2016-2017
520,Utah Jazz,51,31,0.622,100.7,96.8,2016-2017
521,Oklahoma City Thunder,47,35,0.573,106.6,105.8,2016-2017
522,Portland Trail Blazers,41,41,0.5,107.9,108.5,2016-2017
523,Denver Nuggets,40,42,0.488,111.7,111.2,2016-2017
524,Minnesota Timberwolves,31,51,0.378,105.6,106.7,2016-2017
525,Golden State Warriors,67,15,0.817,115.9,104.3,2016-2017
526,Los Angeles Clippers,51,31,0.622,108.7,104.4,2016-2017
527,Sacramento Kings,32,50,0.39,102.8,106.7,2016-2017
528,Los Angeles Lakers,26,56,0.317,104.6,111.5,2016-2017
529,Phoenix Suns,24,58,0.293,107.7,113.3,2016-2017
530,San Antonio Spurs,61,21,0.744,105.3,98.1,2016-2017
531,Houston Rockets,55,27,0.671,115.3,109.6,2016-2017
532,Memphis Grizzlies,43,39,0.524,100.5,100.0,2016-2017
533,New Orleans Pelicans,34,48,0.415,104.3,106.4,2016-2017
534,Dallas Mavericks,33,49,0.402,97.9,100.8,2016-2017
535,Toronto Raptors,59,23,0.72,111.7,103.9,2017-2018
536,Boston Celtics,55,27,0.671,104.0,100.4,2017-2018
537,Philadelphia 76ers,52,30,0.634,109.8,105.3,2017-2018
538,New York Knicks,29,53,0.354,104.5,108.0,2017-2018
539,Brooklyn Nets,28,54,0.341,106.6,110.3,2017-2018
540,Cleveland Cavaliers,50,32,0.61,110.9,109.9,2017-2018
541,Indiana Pacers,48,34,0.585,105.6,104.2,2017-2018
542,Milwaukee Bucks,44,38,0.537,106.5,106.8,2017-2018
543,Detroit Pistons,39,43,0.476,103.8,103.9,2017-2018
544,Chicago Bulls,27,55,0.329,102.9,110.0,2017-2018
545,Miami Heat,44,38,0.537,103.4,102.9,2017-2018
546,Washington Wizards,43,39,0.524,106.6,106.0,2017-2018
547,Charlotte Hornets,36,46,0.439,108.2,108.0,2017-2018
548,Orlando Magic,25,57,0.305,103.4,108.2,2017-2018
549,Atlanta Hawks,24,58,0.293,103.4,108.8,2017-2018
550,Portland Trail Blazers,49,33,0.598,105.6,103.0,2017-2018
551,Oklahoma City Thunder,48,34,0.585,107.9,104.4,2017-2018
552,Utah Jazz,48,34,0.585,104.1,99.8,2017-2018
553,Minnesota Timberwolves,47,35,0.573,109.5,107.3,2017-2018
554,Denver Nuggets,46,36,0.561,110.0,108.5,2017-2018
555,Golden State Warriors,58,24,0.707,113.5,107.5,2017-2018
556,Los Angeles Clippers,42,40,0.512,109.0,109.0,2017-2018
557,Los Angeles Lakers,35,47,0.427,108.1,109.6,2017-2018
558,Sacramento Kings,27,55,0.329,98.8,105.8,2017-2018
559,Phoenix Suns,21,61,0.256,103.9,113.3,2017-2018
560,Houston Rockets,65,17,0.793,112.4,103.9,2017-2018
561,New Orleans Pelicans,48,34,0.585,111.7,110.4,2017-2018
562,San Antonio Spurs,47,35,0.573,102.7,99.8,2017-2018
563,Dallas Mavericks,24,58,0.293,102.3,105.4,2017-2018
564,Memphis Grizzlies,22,60,0.268,99.3,105.5,2017-2018
565,Toronto Raptors,58,24,0.707,114.4,108.4,2018-2019
566,Philadelphia 76ers,51,31,0.622,115.2,112.5,2018-2019
567,Boston Celtics,49,33,0.598,112.4,108.0,2018-2019
568,Brooklyn Nets,42,40,0.512,112.2,112.3,2018-2019
569,New York Knicks,17,65,0.207,104.6,113.8,2018-2019
570,Milwaukee Bucks,60,22,0.732,118.1,109.3,2018-2019
571,Indiana Pacers,48,34,0.585,108.0,104.7,2018-2019
572,Detroit Pistons,41,41,0.5,107.0,107.3,2018-2019
573,Chicago Bulls,22,60,0.268,104.9,113.4,2018-2019
574,Cleveland Cavaliers,19,63,0.232,104.5,114.1,2018-2019
575,Orlando Magic,42,40,0.512,107.3,106.6,2018-2019
576,Charlotte Hornets,39,43,0.476,110.7,111.8,2018-2019
577,Miami Heat,39,43,0.476,105.7,105.9,2018-2019
578,Washington Wizards,32,50,0.39,114.0,116.9,2018-2019
579,Atlanta Hawks,29,53,0.354,113.3,119.4,2018-2019
580,Denver Nuggets,54,28,0.659,110.7,106.7,2018-2019
581,Portland Trail Blazers,53,29,0.646,114.7,110.5,2018-2019
582,Utah Jazz,50,32,0.61,111.7,106.5,2018-2019
583,Oklahoma City Thunder,49,33,0.598,114.5,111.1,2018-2019
584,Minnesota Timberwolves,36,46,0.439,112.5,114.0,2018-2019
585,Golden State Warriors,57,25,0.695,117.7,111.2,2018-2019
586,Los Angeles Clippers,48,34,0.585,115.1,114.3,2018-2019
587,Sacramento Kings,39,43,0.476,114.2,115.3,2018-2019
588,Los Angeles Lakers,37,45,0.451,111.8,113.5,2018-2019
589,Phoenix Suns,19,63,0.232,107.5,116.8,2018-2019
590,Houston Rockets,53,29,0.646,113.9,109.1,2018-2019
591,San Antonio Spurs,48,34,0.585,111.7,110.0,2018-2019
592,Memphis Grizzlies,33,49,0.402,103.5,106.1,2018-2019
593,New Orleans Pelicans,33,49,0.402,115.4,116.8,2018-2019
594,Dallas Mavericks,33,49,0.402,108.9,110.1,2018-2019
